name,title,content,url
Acupuncture,Acupuncture,"TRICARE doesn’t coveracupuncture. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 5/22/2025",https://www.tricare.mil/CoveredServices/IsItCovered/Acupuncture
Alterations to Living Space,Alterations to Living Space,"TRICARE doesn’t cover alterations to living space. While TRICARE doesn’t cover alterations to living space, you may qualify for benefits from the Department of Veterans Affairs.The VA provides up to $4,100 lifetime benefit for veterans with service-connected injuries and up to $1,200 for veterans with non-service-connected injuries to make home improvements necessary for: To learn more or to see if you qualify, go toHome Improvements/Structural Alterations. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 8/18/2025",https://www.tricare.mil/CoveredServices/IsItCovered/AlterationsLivingSpace
Alternative Treatments,Alternative Treatments,TRICARE doesn’t cover alternative treatments. Last Updated 9/16/2024,https://www.tricare.mil/CoveredServices/IsItCovered/AlternativeTreatments
Assisted Living Facility Care,Assisted Living Facility Care,"TRICARE doesn’t cover assisted living facility care or routine personal care associated with assisted living. Assisted living is a housing arrangement where people can live independently but can find help with tasks and have some services provided for them. These services may include meals, medication administration, personal care, housekeeping, medical services, recreational activities, and more. Last Updated 9/16/2024",https://www.tricare.mil/CoveredServices/IsItCovered/AssistedLivingFacilityCare
Augmentation Mammoplasty,Augmentation Mammoplasty,"TRICARE doesn’t cover augmentation mammoplasty or breast enhancement procedures. However, TRICARE does coverpost-mastectomy reconstructive breast surgery. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 9/16/2024",https://www.tricare.mil/CoveredServices/IsItCovered/AugmentationMammoplasty
Autopsy Services,Autopsy Services,"TRICARE doesn't cover autopsy services. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/AutopsyServices
Aversion Therapy,Aversion Therapy,"TRICARE doesn't cover aversion therapy. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/AversionTherapy
Camps,Camps,"TRICARE doesn't cover camps. (i.e., camps for diabetes or weight loss) This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/Camps
Charges for Missed Appointments,Charges for Missed Appointments,TRICARE doesn’t cover charges from appointments you miss. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/ChargesforMissedAppointments
Computerized Dynamic Posturography (CDP),Computerized Dynamic Posturography (CDP),"TRICARE doesn't cover computerized dynamic posturography. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/ComputerizedDynamicPosturography
Cosmetic Drugs,Cosmetic Drugs,TRICARE doesn’t cover cosmetic drugs. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/CosmeticDrugs
Domiciliary Care,Domiciliary Care,TRICARE doesn’t cover domiciliary care (care provided in an institution or home-like environment). Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/DomiciliaryCare
Dry Needling,Dry Needling,"TRICARE doesn't cover dry needling. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/DryNeedling
Dynamic Posturography,Dynamic Posturography,"TRICARE doesn't cover dynamic posturography. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/DynamicPosturography
Dyslexia Treatment,Dyslexia Treatment,TRICARE doesn’t cover dyslexia treatment. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/DyslexiaTreatment
Elective Psychotherapy and Mind Expansion Psychotherapy,Elective Psychotherapy and Mind Expansion Psychotherapy,TRICARE doesn’t cover: Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/ElectivePsychotherapy
Elective Services or Supplies,Elective Services or Supplies,"TRICARE doesn’t cover services or supplies that aren’t medically or psychologically necessary. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 9/17/2024",https://www.tricare.mil/CoveredServices/IsItCovered/ElectiveServicesSupplies
Elevators or Chair Lifts,Elevators or Chair Lifts,TRICARE doesn’t cover elevators or chair lifts. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/ElevatorsChairLifts
Exercise Equipment,Exercise Equipment,"TRICARE doesn't cover exercise equipment. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 6/18/2020",https://www.tricare.mil/CoveredServices/IsItCovered/ExerciseEquipment
Exercise Programs,Exercise Programs,"TRICARE doesn’t cover exercise programs (for example, Silver Sneakers). Last Updated 9/17/2024",https://www.tricare.mil/CoveredServices/IsItCovered/ExercisePrograms
Experimental Procedures,Experimental Procedures,TRICARE doesn’t cover procedures that are experimental or aren’t proven. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/ExperimentalUnprovenProcedures
Fluoride Preparations,Fluoride Preparations,TRICARE doesn’t cover fluoride preparations. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/FluoridePreparations
Gym Membership,Gym Membership,"TRICARE doesn't cover gym memberships. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/GymMembership
Homeopathic and Herbal Drugs,Homeopathic and Herbal Drugs,TRICARE doesn’t cover homeopathic and herbal drugs. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/HomeopathicandHerbalDrugs
Hospitalization for Medical or Surgical Error,Hospitalization for Medical or Surgical Error,"TRICARE doesn't cover services or hospitalization as a result of medical or surgical error. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/HospMedSurgError
LASIK Surgery,LASIK Surgery,"TRICARE doesn’t cover LASIK eye surgery. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 10/3/2024",https://www.tricare.mil/CoveredServices/IsItCovered/LASIKSurgery
Learning Disorders,Learning Disorders,"TRICARE doesn’t cover diagnostic, evaluation, treatment, services, or supplies (including special education services) for learning disorders, such as dyslexia. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 10/3/2024",https://www.tricare.mil/CoveredServices/IsItCovered/LearningDisorders
Long Term Care,Long Term Care,"TRICARE doesn’t cover long term care. You can discuss exceptions or partial exceptions to the “no coverage” guidance with your regional contractor or case manager (if one is assigned). TRICARE does cover other services you may need, such as: “Long term care” is often used as an umbrella phrase to refer to all kinds of assistance to the aging, the elderly, or the disabled, whether that care is given in a patient's home or in a nursing home. This is an understandable and common mistake. Long term care includes a wide range of support services for patients with a degenerative condition, prolonged illness or cognitive disorder. Also known ascustodial careNon-skilled, personal care for basic day-to-day tasks. This includes help with eating, dressing, getting in or out of a bed or chair, moving around, and using the bathroom., long term care primarily involves assistance with daily living (walking, personal hygiene, dressing, etc.) or supervision of someone who is cognitively impaired. You may qualify to purchase long term care insurance through commercial insurance programs or through the Federal Long Term Care Insurance Program. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 10/3/2024",https://www.tricare.mil/CoveredServices/IsItCovered/LongTermCare
Massage,Massage,"TRICARE doesn't cover massages. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/Massage
Medical Care from a Family Member,Medical Care from a Family Member,"TRICARE doesn’t cover health services or supplies provided or prescribed by a member of the beneficiary’s immediate family, or a person living in their household. Last Updated 5/17/2023",https://www.tricare.mil/CoveredServices/IsItCovered/MedicalCarefromFamilyMember
Mental Health Exclusions,Mental Health Exclusions,"TRICARE doesn’t cover the following services: There may be other exclusions that aren’t on this list. To learn more about exclusions,call your regional contractor. Last Updated 1/30/2026",https://www.tricare.mil/CoveredServices/IsItCovered/MentalHealthExclusions
Multivitamins and Megavitamins,Multivitamins and Megavitamins,TRICARE doesn’t cover: Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/MultivitaminsMegavitamins
Mycotoxin Testing or Toxic Mold Testing,Mycotoxin Testing or Toxic Mold Testing,TRICARE doesn’t cover mycotoxin urine or serum testing—sometimes called “toxic mold testing.” Allergy testingmay tell if you’re allergic to mold. Talk to your primary care manager or provider. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/MycotoxinTesting
Naturopathic Care,Naturopathic Care,TRICARE doesn’t cover naturopathic care. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/NaturopathicCare
Neurofeedback,Neurofeedback,"TRICARE doesn't cover neurofeedback. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/Neurofeedback
Nursing Homes,Nursing Homes,"TRICARE doesn't cover nursing homes. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/NursingHomes
Orthoptics,Orthoptics,"TRICARE doesn’t cover orthoptics, which includes: This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 10/29/2024",https://www.tricare.mil/CoveredServices/IsItCovered/Orthoptics
Paternity Test,Paternity Test,"TRICARE doesn't cover paternity tests. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/PaternityTest
Personal Items,Personal Items,TRICARE doesn’t cover personal items. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/PersonalItems
Postpartum Stay without a Medical Reason,Postpartum Stay without a Medical Reason,TRICARE doesn’t cover postpartum stay without a medical reason. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/PostpartumStaywithoutMedicalReason
Private Hospital Rooms,Private Hospital Rooms,"TRICARE doesn't cover private hospital rooms. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/PrivateHospitalRooms
Psychiatric Treatment for Sexual Dysfunction,Psychiatric Treatment for Sexual Dysfunction,TRICARE doesn’t cover psychiatric treatment for sexual dysfunction. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/PsychiatricTreatmentforSexualDysfunction
Psychogenic Surgery,Psychogenic Surgery,TRICARE doesn’t cover surgery performed for psychological reasons. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/PsychogenicSurgery
Retirement Homes,Retirement Homes,"TRICARE doesn't cover retirement homes. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/RetirementHomes
Safety Medical Supplies,Safety Medical Supplies,"TRICARE doesn’t cover safety medical supplies, such as bath or toilet rails, safety beds, helmets, and childproof locks. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 10/29/2024",https://www.tricare.mil/CoveredServices/IsItCovered/SafetyMedicalSupplies
Sensory Integration Therapy,Sensory Integration Therapy,"TRICARE doesn't cover sensory integration therapy. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/SensoryIntegrationTherapy
Sexual Dysfunction or Inadequacy Treatment,Sexual Dysfunction or Inadequacy Treatment,"TRICARE doesn’t cover treatment for sexual dysfunction or inadequacy. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 10/29/2024",https://www.tricare.mil/CoveredServices/IsItCovered/SexualDysfunction
Transcutaneous Electrical Nerve Stimulation (TENS),Transcutaneous Electrical Nerve Stimulation (TENS),"TRICARE doesn’t cover transcutaneous electrical nerve stimulation as a treatment for low back pain. This includes at-home TENS units and at physical therapy. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 10/30/2024",https://www.tricare.mil/CoveredServices/IsItCovered/TENS
Therapeutic Absences from Inpatient Facility,Therapeutic Absences from Inpatient Facility,TRICARE doesn’t cover therapeutic absences from an inpatient facility.  The exception is when TRICARE approves these absences specifically in a treatment plan. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/TherapeuticAbsencesfromInpatientFacility
Uncovered Services and Supplies,Uncovered Services and Supplies,TRICARE doesn’t cover services and supplies: Last Updated 10/30/2024,https://www.tricare.mil/CoveredServices/IsItCovered/UncoveredServicesandSupplies
Unneccessary Diagnostic Tests,Unneccessary Diagnostic Tests,"TRICARE doesn’t cover tests that are unnecessary. Tests must be related to a specific illness, injury, or defined set of symptoms. MammogramsandPap testsare exceptions. Last Updated 10/30/2024",https://www.tricare.mil/CoveredServices/IsItCovered/UnneccessaryDiagnosticTests
Unnecessary Inpatient Stays,Unnecessary Inpatient Stays,TRICARE doesn’t cover unnecessary inpatient stays. This includes inpatient stays: Last Updated 10/30/2024,https://www.tricare.mil/CoveredServices/IsItCovered/UnnecessaryInpatientStays
Unproven Procedures,Unproven Procedures,TRICARE doesn’t cover procedures that are unproven or experimental. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/UnprovenExperimentalProcedures
Vision Therapy,Vision Therapy,"TRICARE doesn't cover vision therapy. SeeOrthoptics. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/VisionTherapy
Vitamin D Screening,Vitamin D Screening,"TRICARE doesn’t cover Vitamin D screenings if: This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 10/30/2024",https://www.tricare.mil/CoveredServices/IsItCovered/VitaminDScreening
